"city","sector","inventory","pollutant","emission"
"Barcelona","ms34","ctm4iam","nox",4.296003059
"Bucarest","ms34","ctm4iam","nox",12.92830278
"Budapest","ms34","ctm4iam","nox",24.64294388
"Katowice","ms34","ctm4iam","nox",2.318505204
"London","ms34","ctm4iam","nox",3.419340706
"Madrid","ms34","ctm4iam","nox",0.563806759
"Milan","ms34","ctm4iam","nox",0.599664316
"Paris","ms34","ctm4iam","nox",3.895538713
"Sofia","ms34","ctm4iam","nox",2.23077658
"Utrecht","ms34","ctm4iam","nox",4.50691098
"Warsaw","ms34","ctm4iam","nox",0.516533594
"Barcelona","ms34","edgar","nox",8.462982686
"Bucarest","ms34","edgar","nox",14.96481386
"Budapest","ms34","edgar","nox",46.61597841
"Katowice","ms34","edgar","nox",11.95160835
"London","ms34","edgar","nox",10.93344106
"Madrid","ms34","edgar","nox",13.04166846
"Milan","ms34","edgar","nox",6.072179076
"Paris","ms34","edgar","nox",17.98029218
"Sofia","ms34","edgar","nox",22.74929551
"Utrecht","ms34","edgar","nox",3.965323927
"Warsaw","ms34","edgar","nox",9.52187372
"Paris","ms34","emep","nox",1.448996531
"Barcelona","ms34","emep","nox",1.680162735
"Bucarest","ms34","emep","nox",0.936208247
"Budapest","ms34","emep","nox",13.85760721
"Katowice","ms34","emep","nox",4.385656461
"London","ms34","emep","nox",1.046704929
"Madrid","ms34","emep","nox",0.777441315
"Milan","ms34","emep","nox",1.193415187
"Sofia","ms34","emep","nox",1.337297423
"Utrecht","ms34","emep","nox",2.011041593
"Warsaw","ms34","emep","nox",0.590438563
"Barcelona","ms34","jrc","nox",7.302219444
"Bucarest","ms34","jrc","nox",4.755492172
"Budapest","ms34","jrc","nox",17.37963565
"Katowice","ms34","jrc","nox",2.909960586
"London","ms34","jrc","nox",3.284623332
"Madrid","ms34","jrc","nox",2.818482127
"Milan","ms34","jrc","nox",3.421347534
"Paris","ms34","jrc","nox",3.759500733
"Sofia","ms34","jrc","nox",8.729214568
"Utrecht","ms34","jrc","nox",3.290220874
"Warsaw","ms34","jrc","nox",2.216731938
"Barcelona","ms34","macc2","nox",4.223069243
"Bucarest","ms34","macc2","nox",4.054041287
"Budapest","ms34","macc2","nox",11.80707633
"Katowice","ms34","macc2","nox",3.313417885
"London","ms34","macc2","nox",6.814749964
"Madrid","ms34","macc2","nox",5.917653237
"Milan","ms34","macc2","nox",4.809681111
"Paris","ms34","macc2","nox",7.494206945
"Sofia","ms34","macc2","nox",7.030540989
"Utrecht","ms34","macc2","nox",1.633464407
"Warsaw","ms34","macc2","nox",2.257635399
"Barcelona","ms34","macc3","nox",4.259507017
"Bucarest","ms34","macc3","nox",2.69365449
"Budapest","ms34","macc3","nox",12.38064073
"Katowice","ms34","macc3","nox",11.05387658
"London","ms34","macc3","nox",2.108699
"Madrid","ms34","macc3","nox",2.408164774
"Milan","ms34","macc3","nox",2.263081308
"Paris","ms34","macc3","nox",1.9915709
"Sofia","ms34","macc3","nox",1.573181277
"Utrecht","ms34","macc3","nox",1.147030477
"Warsaw","ms34","macc3","nox",1.44861523
"Barcelona","ms2","ctm4iam","nox",6.820161283
"Bucarest","ms2","ctm4iam","nox",10.5246241
"Budapest","ms2","ctm4iam","nox",21.74731186
"Katowice","ms2","ctm4iam","nox",4.582789195
"London","ms2","ctm4iam","nox",10.71828334
"Madrid","ms2","ctm4iam","nox",10.09443563
"Milan","ms2","ctm4iam","nox",5.610726476
"Paris","ms2","ctm4iam","nox",11.35835029
"Sofia","ms2","ctm4iam","nox",13.01938525
"Utrecht","ms2","ctm4iam","nox",6.33101678
"Warsaw","ms2","ctm4iam","nox",5.021269768
"Barcelona","ms2","edgar","nox",8.44242851
"Bucarest","ms2","edgar","nox",21.28804894
"Budapest","ms2","edgar","nox",68.99790641
"Katowice","ms2","edgar","nox",5.982198229
"London","ms2","edgar","nox",14.06262333
"Madrid","ms2","edgar","nox",14.81521431
"Milan","ms2","edgar","nox",10.75405503
"Paris","ms2","edgar","nox",21.24651126
"Sofia","ms2","edgar","nox",13.82793871
"Utrecht","ms2","edgar","nox",7.105504326
"Warsaw","ms2","edgar","nox",6.262685528
"Paris","ms2","emep","nox",9.955593996
"Barcelona","ms2","emep","nox",2.800403396
"Bucarest","ms2","emep","nox",5.710489729
"Budapest","ms2","emep","nox",16.59696947
"Katowice","ms2","emep","nox",2.336228216
"London","ms2","emep","nox",9.59024936
"Madrid","ms2","emep","nox",3.50874957
"Milan","ms2","emep","nox",3.950369835
"Sofia","ms2","emep","nox",7.377122615
"Utrecht","ms2","emep","nox",3.840052642
"Warsaw","ms2","emep","nox",2.515447342
"Barcelona","ms2","jrc","nox",6.545447524
"Bucarest","ms2","jrc","nox",10.06663608
"Budapest","ms2","jrc","nox",19.85378178
"Katowice","ms2","jrc","nox",4.308006093
"London","ms2","jrc","nox",9.793181387
"Madrid","ms2","jrc","nox",9.692869293
"Milan","ms2","jrc","nox",5.362021714
"Paris","ms2","jrc","nox",12.55640872
"Sofia","ms2","jrc","nox",16.01319597
"Utrecht","ms2","jrc","nox",5.365844028
"Warsaw","ms2","jrc","nox",5.758078299
"Barcelona","ms2","macc2","nox",3.16619189
"Bucarest","ms2","macc2","nox",6.417013876
"Budapest","ms2","macc2","nox",18.99631832
"Katowice","ms2","macc2","nox",4.235622564
"London","ms2","macc2","nox",10.22950058
"Madrid","ms2","macc2","nox",4.385337557
"Milan","ms2","macc2","nox",4.798369573
"Paris","ms2","macc2","nox",11.4129006
"Sofia","ms2","macc2","nox",6.232961438
"Utrecht","ms2","macc2","nox",4.167488585
"Warsaw","ms2","macc2","nox",4.868058542
"Barcelona","ms2","macc3","nox",2.885166419
"Bucarest","ms2","macc3","nox",5.697270841
"Budapest","ms2","macc3","nox",16.59227334
"Katowice","ms2","macc3","nox",2.331316804
"London","ms2","macc3","nox",9.65460353
"Madrid","ms2","macc3","nox",3.621007709
"Milan","ms2","macc3","nox",4.023974707
"Paris","ms2","macc3","nox",9.972381847
"Sofia","ms2","macc3","nox",7.533668942
"Utrecht","ms2","macc3","nox",3.994219159
"Warsaw","ms2","macc3","nox",2.510894811
"Barcelona","ms7","ctm4iam","nox",3.139781847
"Bucarest","ms7","ctm4iam","nox",2.847535591
"Budapest","ms7","ctm4iam","nox",12.76531031
"Katowice","ms7","ctm4iam","nox",3.337278506
"London","ms7","ctm4iam","nox",5.272160806
"Madrid","ms7","ctm4iam","nox",5.940585881
"Milan","ms7","ctm4iam","nox",3.799740017
"Paris","ms7","ctm4iam","nox",5.571689013
"Sofia","ms7","ctm4iam","nox",5.28092216
"Utrecht","ms7","ctm4iam","nox",7.239291255
"Warsaw","ms7","ctm4iam","nox",4.469112651
"Barcelona","ms7","edgar","nox",2.021969407
"Bucarest","ms7","edgar","nox",3.593381644
"Budapest","ms7","edgar","nox",7.529428084
"Katowice","ms7","edgar","nox",1.976060999
"London","ms7","edgar","nox",3.361773467
"Madrid","ms7","edgar","nox",3.153500737
"Milan","ms7","edgar","nox",1.933411394
"Paris","ms7","edgar","nox",2.314787105
"Sofia","ms7","edgar","nox",6.808912691
"Utrecht","ms7","edgar","nox",5.77262283
"Warsaw","ms7","edgar","nox",2.157185237
"Paris","ms7","emep","nox",5.563049898
"Barcelona","ms7","emep","nox",4.238833227
"Bucarest","ms7","emep","nox",8.462561173
"Budapest","ms7","emep","nox",13.18241746
"Katowice","ms7","emep","nox",3.618059385
"London","ms7","emep","nox",6.594326295
"Madrid","ms7","emep","nox",6.264878312
"Milan","ms7","emep","nox",3.761860676
"Sofia","ms7","emep","nox",11.88452422
"Utrecht","ms7","emep","nox",7.308881212
"Warsaw","ms7","emep","nox",3.703349802
"Barcelona","ms7","jrc","nox",5.398922189
"Bucarest","ms7","jrc","nox",4.259805508
"Budapest","ms7","jrc","nox",8.441887801
"Katowice","ms7","jrc","nox",2.790035836
"London","ms7","jrc","nox",9.996534252
"Madrid","ms7","jrc","nox",5.859448167
"Milan","ms7","jrc","nox",3.194164917
"Paris","ms7","jrc","nox",7.187542775
"Sofia","ms7","jrc","nox",7.690155624
"Utrecht","ms7","jrc","nox",6.154649186
"Warsaw","ms7","jrc","nox",2.202549717
"Barcelona","ms7","macc2","nox",4.245890681
"Bucarest","ms7","macc2","nox",8.463366281
"Budapest","ms7","macc2","nox",13.37248274
"Katowice","ms7","macc2","nox",3.616059054
"London","ms7","macc2","nox",6.272825114
"Madrid","ms7","macc2","nox",6.273603199
"Milan","ms7","macc2","nox",3.770249971
"Paris","ms7","macc2","nox",5.494034028
"Sofia","ms7","macc2","nox",11.21476753
"Utrecht","ms7","macc2","nox",7.265824772
"Warsaw","ms7","macc2","nox",3.702609933
"Barcelona","ms7","macc3","nox",4.236704331
"Bucarest","ms7","macc3","nox",8.464590345
"Budapest","ms7","macc3","nox",13.06308915
"Katowice","ms7","macc3","nox",3.618526642
"London","ms7","macc3","nox",6.558094667
"Madrid","ms7","macc3","nox",6.261746144
"Milan","ms7","macc3","nox",3.767249349
"Paris","ms7","macc3","nox",5.55058967
"Sofia","ms7","macc3","nox",11.90443762
"Utrecht","ms7","macc3","nox",7.321011332
"Warsaw","ms7","macc3","nox",3.713517684
"Barcelona","ms34","ctm4iam","pm25",2.63100543
"Bucarest","ms34","ctm4iam","pm25",25.33537194
"Budapest","ms34","ctm4iam","pm25",2.635927366
"Katowice","ms34","ctm4iam","pm25",2.436776815
"London","ms34","ctm4iam","pm25",1.399090518
"Madrid","ms34","ctm4iam","pm25",0.237974115
"Milan","ms34","ctm4iam","pm25",2.70933948
"Paris","ms34","ctm4iam","pm25",1.280406509
"Sofia","ms34","ctm4iam","pm25",1.606184624
"Utrecht","ms34","ctm4iam","pm25",0.058271382
"Warsaw","ms34","ctm4iam","pm25",0.401177994
"Barcelona","ms34","edgar","pm25",6.990602339
"Bucarest","ms34","edgar","pm25",13.26551776
"Budapest","ms34","edgar","pm25",36.69242283
"Katowice","ms34","edgar","pm25",10.71164311
"London","ms34","edgar","pm25",8.190618399
"Madrid","ms34","edgar","pm25",9.853098466
"Milan","ms34","edgar","pm25",2.829115646
"Paris","ms34","edgar","pm25",16.14036114
"Sofia","ms34","edgar","pm25",20.48391883
"Utrecht","ms34","edgar","pm25",2.982748849
"Warsaw","ms34","edgar","pm25",8.524502253
"Paris","ms34","emep","pm25",2.999704089
"Barcelona","ms34","emep","pm25",1.546543568
"Bucarest","ms34","emep","pm25",0.742594412
"Budapest","ms34","emep","pm25",7.672309928
"Katowice","ms34","emep","pm25",4.997609319
"London","ms34","emep","pm25",1.593553361
"Madrid","ms34","emep","pm25",0.897197247
"Milan","ms34","emep","pm25",1.844198354
"Sofia","ms34","emep","pm25",1.482022737
"Utrecht","ms34","emep","pm25",1.709290056
"Warsaw","ms34","emep","pm25",1.345608116
"Barcelona","ms34","jrc","pm25",4.736476614
"Bucarest","ms34","jrc","pm25",7.268622513
"Budapest","ms34","jrc","pm25",20.01955705
"Katowice","ms34","jrc","pm25",5.631675836
"London","ms34","jrc","pm25",3.226363943
"Madrid","ms34","jrc","pm25",2.156188271
"Milan","ms34","jrc","pm25",5.823537539
"Paris","ms34","jrc","pm25",5.597119822
"Sofia","ms34","jrc","pm25",10.18148158
"Utrecht","ms34","jrc","pm25",3.935492024
"Warsaw","ms34","jrc","pm25",3.502954086
"Barcelona","ms34","macc2","pm25",4.195056454
"Bucarest","ms34","macc2","pm25",0.920189745
"Budapest","ms34","macc2","pm25",7.488288074
"Katowice","ms34","macc2","pm25",7.806236817
"London","ms34","macc2","pm25",5.882315042
"Madrid","ms34","macc2","pm25",5.506478658
"Milan","ms34","macc2","pm25",3.588522206
"Paris","ms34","macc2","pm25",12.24801176
"Sofia","ms34","macc2","pm25",0.658992667
"Utrecht","ms34","macc2","pm25",1.733813753
"Warsaw","ms34","macc2","pm25",4.277732134
"Barcelona","ms34","macc3","pm25",4.274958725
"Bucarest","ms34","macc3","pm25",1.8289194
"Budapest","ms34","macc3","pm25",7.406019707
"Katowice","ms34","macc3","pm25",10.14705934
"London","ms34","macc3","pm25",2.05664808
"Madrid","ms34","macc3","pm25",2.733257934
"Milan","ms34","macc3","pm25",1.716252413
"Paris","ms34","macc3","pm25",2.542313746
"Sofia","ms34","macc3","pm25",2.457786801
"Utrecht","ms34","macc3","pm25",1.463438476
"Warsaw","ms34","macc3","pm25",2.578281149
"Barcelona","ms2","ctm4iam","pm25",1.685520326
"Bucarest","ms2","ctm4iam","pm25",3.231831856
"Budapest","ms2","ctm4iam","pm25",6.967148074
"Katowice","ms2","ctm4iam","pm25",2.122613383
"London","ms2","ctm4iam","pm25",0.558680259
"Madrid","ms2","ctm4iam","pm25",2.466287327
"Milan","ms2","ctm4iam","pm25",2.435985808
"Paris","ms2","ctm4iam","pm25",1.036318787
"Sofia","ms2","ctm4iam","pm25",4.956769525
"Utrecht","ms2","ctm4iam","pm25",4.585006391
"Warsaw","ms2","ctm4iam","pm25",2.061247778
"Barcelona","ms2","edgar","pm25",5.388639175
"Bucarest","ms2","edgar","pm25",10.16940894
"Budapest","ms2","edgar","pm25",17.89859086
"Katowice","ms2","edgar","pm25",3.875115115
"London","ms2","edgar","pm25",8.772036032
"Madrid","ms2","edgar","pm25",9.108131658
"Milan","ms2","edgar","pm25",5.074400887
"Paris","ms2","edgar","pm25",12.50083604
"Sofia","ms2","edgar","pm25",10.59395912
"Utrecht","ms2","edgar","pm25",5.912221527
"Warsaw","ms2","edgar","pm25",4.171889022
"Paris","ms2","emep","pm25",0.593159405
"Barcelona","ms2","emep","pm25",2.273692326
"Bucarest","ms2","emep","pm25",1.965482518
"Budapest","ms2","emep","pm25",4.927184833
"Katowice","ms2","emep","pm25",1.704824843
"London","ms2","emep","pm25",1.118226089
"Madrid","ms2","emep","pm25",1.060913621
"Milan","ms2","emep","pm25",0.752070915
"Sofia","ms2","emep","pm25",6.31732861
"Utrecht","ms2","emep","pm25",5.148236364
"Warsaw","ms2","emep","pm25",1.835615319
"Barcelona","ms2","jrc","pm25",3.524544069
"Bucarest","ms2","jrc","pm25",2.421686969
"Budapest","ms2","jrc","pm25",8.223200073
"Katowice","ms2","jrc","pm25",3.646403803
"London","ms2","jrc","pm25",4.470818522
"Madrid","ms2","jrc","pm25",3.465702564
"Milan","ms2","jrc","pm25",1.534207023
"Paris","ms2","jrc","pm25",2.372508188
"Sofia","ms2","jrc","pm25",6.437055369
"Utrecht","ms2","jrc","pm25",4.481674259
"Warsaw","ms2","jrc","pm25",4.761303943
"Barcelona","ms2","macc2","pm25",3.846224112
"Bucarest","ms2","macc2","pm25",2.553863957
"Budapest","ms2","macc2","pm25",11.46148119
"Katowice","ms2","macc2","pm25",1.67792539
"London","ms2","macc2","pm25",3.052828794
"Madrid","ms2","macc2","pm25",5.261695666
"Milan","ms2","macc2","pm25",1.314287286
"Paris","ms2","macc2","pm25",6.565087919
"Sofia","ms2","macc2","pm25",6.472195613
"Utrecht","ms2","macc2","pm25",6.893073568
"Warsaw","ms2","macc2","pm25",1.754361027
"Barcelona","ms2","macc3","pm25",2.259590032
"Bucarest","ms2","macc3","pm25",1.966825738
"Budapest","ms2","macc3","pm25",4.948699942
"Katowice","ms2","macc3","pm25",1.717211551
"London","ms2","macc3","pm25",1.111346
"Madrid","ms2","macc3","pm25",1.054855589
"Milan","ms2","macc3","pm25",0.752489506
"Paris","ms2","macc3","pm25",0.592923987
"Sofia","ms2","macc3","pm25",6.317746698
"Utrecht","ms2","macc3","pm25",5.140967966
"Warsaw","ms2","macc3","pm25",1.851613579
"Barcelona","ms7","ctm4iam","pm25",3.139937871
"Bucarest","ms7","ctm4iam","pm25",2.847266571
"Budapest","ms7","ctm4iam","pm25",12.7623059
"Katowice","ms7","ctm4iam","pm25",3.335597766
"London","ms7","ctm4iam","pm25",6.143701959
"Madrid","ms7","ctm4iam","pm25",5.940895839
"Milan","ms7","ctm4iam","pm25",3.799745504
"Paris","ms7","ctm4iam","pm25",5.662101542
"Sofia","ms7","ctm4iam","pm25",5.280707901
"Utrecht","ms7","ctm4iam","pm25",7.239331019
"Warsaw","ms7","ctm4iam","pm25",4.466871889
"Barcelona","ms7","edgar","pm25",2.117550774
"Bucarest","ms7","edgar","pm25",3.875968713
"Budapest","ms7","edgar","pm25",8.575298118
"Katowice","ms7","edgar","pm25",1.921489177
"London","ms7","edgar","pm25",3.622162185
"Madrid","ms7","edgar","pm25",3.184959323
"Milan","ms7","edgar","pm25",1.9554324
"Paris","ms7","edgar","pm25",2.477950678
"Sofia","ms7","edgar","pm25",6.838702803
"Utrecht","ms7","edgar","pm25",5.893804876
"Warsaw","ms7","edgar","pm25",2.066819786
"Paris","ms7","emep","pm25",7.217318431
"Barcelona","ms7","emep","pm25",4.652091095
"Bucarest","ms7","emep","pm25",8.631811792
"Budapest","ms7","emep","pm25",14.69386462
"Katowice","ms7","emep","pm25",3.690974629
"London","ms7","emep","pm25",7.701271713
"Madrid","ms7","emep","pm25",6.805779443
"Milan","ms7","emep","pm25",4.089858584
"Sofia","ms7","emep","pm25",12.40027149
"Utrecht","ms7","emep","pm25",6.815428432
"Warsaw","ms7","emep","pm25",3.821083608
"Barcelona","ms7","jrc","pm25",5.801034786
"Bucarest","ms7","jrc","pm25",4.409328674
"Budapest","ms7","jrc","pm25",8.859824439
"Katowice","ms7","jrc","pm25",2.894113535
"London","ms7","jrc","pm25",10.80804129
"Madrid","ms7","jrc","pm25",6.317637121
"Milan","ms7","jrc","pm25",3.232383017
"Paris","ms7","jrc","pm25",7.64281567
"Sofia","ms7","jrc","pm25",7.720675675
"Utrecht","ms7","jrc","pm25",6.178702164
"Warsaw","ms7","jrc","pm25",2.366113261
"Barcelona","ms7","macc2","pm25",4.625283258
"Bucarest","ms7","macc2","pm25",8.660615932
"Budapest","ms7","macc2","pm25",14.5514262
"Katowice","ms7","macc2","pm25",3.699065077
"London","ms7","macc2","pm25",7.56711318
"Madrid","ms7","macc2","pm25",6.767932822
"Milan","ms7","macc2","pm25",4.065364258
"Paris","ms7","macc2","pm25",6.77820528
"Sofia","ms7","macc2","pm25",12.49809196
"Utrecht","ms7","macc2","pm25",6.834201485
"Warsaw","ms7","macc2","pm25",3.781368795
"Barcelona","ms7","macc3","pm25",4.647404139
"Bucarest","ms7","macc3","pm25",8.629377646
"Budapest","ms7","macc3","pm25",14.55526838
"Katowice","ms7","macc3","pm25",3.691024218
"London","ms7","macc3","pm25",7.691188469
"Madrid","ms7","macc3","pm25",6.800677403
"Milan","ms7","macc3","pm25",4.090852547
"Paris","ms7","macc3","pm25",7.224230819
